town,flat_type,block,street_name,floor_area_sqm,flat_model,resale_price,remaining_lease,storey_no,lease_commence_date
BEDOK,3 ROOM,151,BEDOK RESERVOIR RD,63,Simplified,281000,70.66666667,5,1988
BEDOK,3 ROOM,54,CHAI CHEE ST,68,New Generation,285000,63.33333333,6,1981
BEDOK,3 ROOM,50,CHAI CHEE ST,68,New Generation,285000,63.5,5,1981
BEDOK,3 ROOM,105,BEDOK RESERVOIR RD,70,New Generation,287000,67.58333333,11,1985
BEDOK,3 ROOM,528,BEDOK NTH ST 3,68,New Generation,290000,61.58333333,15,1979
BEDOK,3 ROOM,534,BEDOK NTH ST 3,60,Improved,290000,68.16666667,12,1986
BEDOK,3 ROOM,550,BEDOK NTH AVE 1,68,New Generation,293000,62.5,4,1980
BEDOK,3 ROOM,77,BEDOK NTH RD,60,Improved,300000,68.25,12,1986
BEDOK,3 ROOM,116,BEDOK RESERVOIR RD,67,New Generation,300000,68.16666667,10,1986
BEDOK,3 ROOM,18,BEDOK STH RD,65,Improved,300000,58,14,1976
BEDOK,3 ROOM,40,CHAI CHEE AVE,65,Improved,300000,56,7,1974
BEDOK,3 ROOM,57,NEW UPP CHANGI RD,60,Improved,300000,67.75,15,1985
BEDOK,3 ROOM,57,NEW UPP CHANGI RD,60,Improved,301888,67.75,9,1985
BEDOK,3 ROOM,105,BEDOK NTH AVE 4,67,New Generation,305000,59.66666667,4,1977
BEDOK,3 ROOM,709,BEDOK RESERVOIR RD,68,New Generation,310000,63.5,9,1981
BEDOK,3 ROOM,42,CHAI CHEE ST,67,New Generation,310000,67.41666667,2,1985
BEDOK,3 ROOM,709,BEDOK RESERVOIR RD,68,New Generation,310000,63.58333333,7,1981
BEDOK,3 ROOM,55,CHAI CHEE DR,75,Model A,310000,66.25,4,1984
BEDOK,3 ROOM,75,BEDOK NTH RD,70,Improved,312000,60.08333333,8,1978
BEDOK,3 ROOM,2,BEDOK STH AVE 1,65,Improved,312000,58,12,1976
BEDOK,3 ROOM,37,CHAI CHEE AVE,66,Improved,312000,65.33333333,6,1983
BEDOK,3 ROOM,709,BEDOK RESERVOIR RD,68,New Generation,313000,63.5,7,1981
BEDOK,3 ROOM,425,BEDOK NTH RD,67,New Generation,332000,61,10,1979
BEDOK,3 ROOM,117,BEDOK NTH RD,73,New Generation,336000,60.33333333,4,1978
BEDOK,3 ROOM,423,BEDOK NTH AVE 1,82,New Generation,358000,61,11,1979
BEDOK,3 ROOM,42,CHAI CHEE ST,82,New Generation,360000,67.41666667,1,1985
BEDOK,3 ROOM,533,BEDOK NTH ST 3,82,New Generation,365000,62,5,1980
BEDOK,4 ROOM,149,BEDOK RESERVOIR RD,84,Simplified,350000,69.41666667,4,1987
BEDOK,4 ROOM,35,BEDOK STH AVE 2,90,Improved,350000,59.91666667,13,1977
BEDOK,4 ROOM,42,BEDOK STH RD,84,Improved,350000,59.66666667,5,1977
BEDOK,4 ROOM,34,BEDOK STH AVE 2,90,Improved,358000,59.66666667,10,1977
BEDOK,4 ROOM,7,BEDOK STH AVE 2,82,Improved,358000,58,5,1976
BEDOK,4 ROOM,8,BEDOK STH AVE 2,82,Improved,375000,58,14,1976
BEDOK,4 ROOM,80,BEDOK NTH RD,91,New Generation,380000,60.41666667,1,1978
BEDOK,4 ROOM,78,BEDOK NTH RD,91,New Generation,382000,60.58333333,5,1978
BEDOK,4 ROOM,135,BEDOK RESERVOIR RD,84,Simplified,384000,69.16666667,9,1987
BEDOK,4 ROOM,148,BEDOK RESERVOIR RD,84,Simplified,385000,69.25,13,1987
BEDOK,4 ROOM,81,BEDOK NTH RD,91,New Generation,390000,60.41666667,3,1978
BEDOK,4 ROOM,142,BEDOK RESERVOIR RD,84,Simplified,392000,68.83333333,7,1986
BEDOK,4 ROOM,142,BEDOK RESERVOIR RD,84,Simplified,395000,68.83333333,9,1986
BEDOK,4 ROOM,124,BEDOK NTH RD,92,New Generation,395000,60.33333333,9,1978
BEDOK,4 ROOM,705,BEDOK NTH RD,91,New Generation,410000,62.83333333,1,1980
BEDOK,4 ROOM,554,BEDOK NTH ST 3,93,New Generation,412000,62.41666667,5,1980
BEDOK,4 ROOM,602,BEDOK RESERVOIR RD,98,New Generation,420000,64.33333333,7,1982
BEDOK,4 ROOM,81,BEDOK NTH RD,91,New Generation,425000,60.41666667,15,1978
BEDOK,4 ROOM,508,BEDOK NTH AVE 3,92,New Generation,430000,60.83333333,11,1978
BEDOK,4 ROOM,720,BEDOK RESERVOIR RD,104,Model A,430000,66.08333333,6,1984
BEDOK,4 ROOM,765,BEDOK RESERVOIR VIEW,105,Premium Apartment,480000,83,5,2000
BEDOK,4 ROOM,10,CHAI CHEE RD,90,Model A,499000,83.08333333,14,2001
BEDOK,4 ROOM,185,BEDOK NTH RD,92,Model A,580000,87.91666667,7,2005
BEDOK,4 ROOM,111,LENGKONG TIGA,104,Model A,625000,71.16666667,6,1989
BEDOK,4 ROOM,220B,BEDOK CTRL,97,Model A,671000,92.33333333,12,2010
BEDOK,5 ROOM,603,BEDOK RESERVOIR RD,120,Improved,485000,64.33333333,1,1982
BEDOK,5 ROOM,21,CHAI CHEE RD,130,Adjoined flat,530000,54.5,8,1972
BEDOK,5 ROOM,672,JLN DAMAI,132,Model A,550000,78.5,4,1996
BEDOK,5 ROOM,415,BEDOK NTH AVE 2,119,Improved,604000,60.83333333,17,1978
BEDOK,5 ROOM,763,BEDOK RESERVOIR VIEW,115,Premium Apartment,610000,82.91666667,18,2000
BEDOK,5 ROOM,805,CHAI CHEE RD,122,Improved,610000,75.33333333,14,1993
BEDOK,5 ROOM,723,BEDOK RESERVOIR RD,137,Model A-Maisonette,633000,66.58333333,4,1984
BEDOK,5 ROOM,722,BEDOK RESERVOIR RD,139,Model A-Maisonette,660000,66.5,1,1984
BEDOK,5 ROOM,219C,BEDOK CTRL,112,Improved,795000,92.33333333,14,2010
BEDOK,EXECUTIVE,640,BEDOK RESERVOIR RD,143,Apartment,668000,75.91666667,5,1993
BEDOK,EXECUTIVE,160,BEDOK STH AVE 3,146,Maisonette,670000,68.33333333,3,1986
BEDOK,EXECUTIVE,640,BEDOK RESERVOIR RD,145,Apartment,725000,75.91666667,10,1993
BEDOK,EXECUTIVE,94C,BEDOK NTH AVE 4,141,Apartment,730000,75.33333333,10,1993
